FED,day,zthour,Binary_Pellets
FED015,-3,10,11.0
FED015,-3,11,4.0
FED015,-3,12,13.0
FED015,-3,13,9.0
FED015,-3,14,10.0
FED015,-3,15,11.0
FED015,-3,16,24.0
FED015,-3,17,21.0
FED015,-3,18,19.0
FED015,-3,19,6.0
FED015,-3,21,19.0
FED015,-3,22,2.0
FED015,-3,23,15.0
FED015,-2,0,2.0
FED015,-2,1,4.0
FED015,-2,2,4.0
FED015,-2,4,4.0
FED015,-2,5,13.0
FED015,-2,6,1.0
FED015,-2,7,3.0
FED015,-2,8,12.0
FED015,-2,9,3.0
FED015,-2,10,6.0
FED015,-2,11,13.0
FED015,-2,12,5.0
FED015,-2,13,19.0
FED015,-2,14,9.0
FED015,-2,15,17.0
FED015,-2,16,20.0
FED015,-2,17,17.0
FED015,-2,18,28.0
FED015,-2,19,6.0
FED015,-2,21,24.0
FED015,-2,22,2.0
FED015,-2,23,3.0
FED016,-5,0,10.0
FED016,-5,2,9.0
FED016,-5,3,8.0
FED016,-5,4,10.0
FED016,-5,5,6.0
FED016,-5,6,10.0
FED016,-5,7,6.0
FED016,-5,8,6.0
FED016,-5,9,5.0
FED016,-5,10,17.0
FED016,-5,11,6.0
FED016,-5,12,9.0
FED016,-5,13,15.0
FED016,-5,14,14.0
FED016,-5,15,18.0
FED016,-5,16,19.0
FED016,-5,17,17.0
FED016,-5,18,9.0
FED016,-5,20,13.0
FED016,-5,21,11.0
FED016,-5,22,9.0
FED016,-5,23,4.0
FED016,-4,8,24.0
FED016,-4,9,1.0
FED016,-4,10,12.0
FED016,-4,11,11.0
FED016,-4,12,11.0
FED016,-4,13,9.0
FED016,-4,14,21.0
FED016,-4,15,22.0
FED016,-4,16,25.0
FED016,-4,17,32.0
FED016,-4,18,14.0
FED016,-4,20,14.0
FED016,-4,21,22.0
FED016,-4,22,13.0
FED016,-4,23,13.0
FED016,-3,0,9.0
FED016,-3,2,10.0
FED016,-3,3,6.0
FED016,-3,4,7.0
FED016,-3,5,5.0
FED016,-3,6,5.0
FED016,-3,7,1.0
FED016,-3,8,15.0
FED016,-3,9,10.0
FED016,-3,10,7.0
FED016,-3,11,12.0
FED016,-3,12,5.0
FED016,-3,13,12.0
FED016,-3,14,18.0
FED016,-3,15,9.0
FED016,-3,16,27.0
FED016,-3,17,20.0
FED016,-3,18,21.0
FED016,-3,19,20.0
FED016,-3,20,5.0
FED016,-3,21,8.0
FED016,-3,22,8.0
FED016,-3,23,12.0
FED016,-2,0,7.0
FED016,-2,1,2.0
FED016,-2,2,8.0
FED016,-2,3,4.0
FED016,-2,4,6.0
FED016,-2,5,5.0
FED016,-2,6,1.0
FED016,-2,7,5.0
FED016,-2,8,6.0
FED016,-2,9,8.0
FED016,-2,10,15.0
FED016,-2,11,5.0
FED016,-2,12,5.0
FED016,-2,13,10.0
FED016,-2,14,15.0
FED016,-2,15,21.0
FED016,-2,16,16.0
FED016,-2,17,25.0
FED016,-2,18,8.0
FED016,-2,19,15.0
FED016,-2,21,8.0
FED016,-2,22,18.0
FED003,0,4,1.0
FED003,0,5,17.0
FED003,0,6,11.0
FED003,0,7,5.0
FED003,0,8,8.0
FED003,0,9,16.0
FED003,0,10,20.0
FED003,0,11,9.0
FED003,0,12,17.0
FED003,0,13,17.0
FED003,0,14,13.0
FED003,0,15,10.0
FED003,0,16,12.0
FED003,0,17,4.0
FED003,0,18,13.0
FED003,0,19,3.0
FED003,0,20,3.0
FED003,0,21,8.0
FED003,0,22,10.0
FED003,0,23,6.0
FED003,1,0,6.0
FED003,1,1,6.0
FED003,1,2,4.0
FED003,1,3,8.0
FED003,1,4,6.0
FED003,1,5,6.0
FED003,1,6,6.0
FED003,1,7,3.0
FED003,1,8,8.0
FED003,1,9,13.0
FED003,1,10,18.0
FED003,1,11,28.0
FED003,1,12,14.0
FED003,1,13,21.0
FED003,1,14,12.0
FED003,1,15,7.0
FED003,1,16,3.0
FED003,1,17,12.0
FED003,1,18,13.0
FED003,1,19,8.0
FED003,1,20,1.0
FED003,1,21,12.0
FED003,1,22,10.0
FED003,2,0,14.0
FED003,2,2,6.0
FED003,2,3,6.0
FED003,2,4,4.0
FED003,2,5,7.0
FED003,2,6,6.0
FED003,2,7,9.0
FED003,2,8,1.0
FED003,2,9,9.0
FED003,2,10,16.0
FED003,2,11,12.0
FED003,2,12,13.0
FED003,2,13,8.0
FED003,2,14,17.0
FED003,2,15,3.0
FED003,2,16,13.0
FED003,2,17,10.0
FED003,2,18,3.0
FED003,2,19,7.0
FED003,2,20,4.0
FED003,2,21,15.0
FED003,2,22,5.0
FED003,3,3,7.0
FED003,3,6,5.0
FED003,3,8,7.0
FED003,3,9,10.0
FED003,3,10,14.0
FED003,3,11,15.0
FED003,3,12,15.0
FED003,3,13,14.0
FED003,3,14,7.0
FED003,3,15,6.0
FED003,3,16,18.0
FED003,3,17,11.0
FED003,3,18,11.0
FED003,3,19,8.0
FED003,3,20,5.0
FED003,3,21,10.0
FED003,3,22,1.0
FED003,3,23,10.0
FED003,4,0,1.0
FED003,4,1,5.0
