device_number,hoursfloor,poke_reward,count,mode,sex,days
4,-11,pellet,9,Empty,f,-1
4,-10,pellet,17,Empty,f,-1
4,-9,pellet,10,Empty,f,-1
4,-8,pellet,1,Empty,f,-1
4,-7,pellet,5,Empty,f,-1
4,-6,pellet,12,Empty,f,-1
4,-5,pellet,0,Empty,f,-1
4,-4,pellet,12,Empty,f,-1
4,-3,pellet,0,Empty,f,-1
4,-2,pellet,8,Empty,f,-1
4,-1,pellet,11,Empty,f,-1
4,0,pellet,4,Social,f,0
4,1,pellet,11,Social,f,0
4,2,pellet,6,Social,f,0
4,3,pellet,6,Social,f,0
4,4,pellet,7,Social,f,0
4,5,pellet,4,Social,f,0
4,6,pellet,13,Social,f,0
4,7,pellet,12,Social,f,0
4,8,pellet,10,Social,f,0
4,9,pellet,13,Social,f,0
4,10,pellet,14,Social,f,0
4,11,pellet,8,Social,f,0
4,12,pellet,18,Social,f,0
4,13,pellet,12,Social,f,0
4,14,pellet,16,Social,f,0
4,15,pellet,8,Social,f,0
4,16,pellet,15,Social,f,0
4,17,pellet,5,Social,f,0
4,18,pellet,1,Social,f,0
4,19,pellet,4,Social,f,0
4,20,pellet,1,Social,f,0
4,21,pellet,5,Social,f,0
4,22,pellet,1,Social,f,0
4,23,pellet,1,Social,f,0
4,24,pellet,6,Social,f,1
4,25,pellet,11,Social,f,1
4,26,pellet,9,Social,f,1
4,27,pellet,0,Social,f,1
4,28,pellet,4,Social,f,1
4,29,pellet,8,Social,f,1
4,30,pellet,0,Social,f,1
4,31,pellet,14,Social,f,1
4,32,pellet,9,Social,f,1
4,33,pellet,15,Social,f,1
4,34,pellet,18,Social,f,1
4,35,pellet,14,Social,f,1
4,36,pellet,9,Social,f,1
4,37,pellet,8,Social,f,1
4,38,pellet,15,Social,f,1
4,39,pellet,13,Social,f,1
4,40,pellet,11,Social,f,1
4,41,pellet,4,Social,f,1
4,42,pellet,7,Social,f,1
4,43,pellet,0,Social,f,1
4,44,pellet,13,Social,f,1
4,45,pellet,0,Social,f,1
4,46,pellet,2,Social,f,1
4,47,pellet,8,Social,f,1
4,48,pellet,7,Social,f,2
4,49,pellet,1,Social,f,2
4,50,pellet,0,Social,f,2
4,51,pellet,9,Social,f,2
4,52,pellet,18,Social,f,2
4,53,pellet,0,Social,f,2
4,54,pellet,15,Social,f,2
4,55,pellet,14,Social,f,2
4,56,pellet,12,Social,f,2
4,57,pellet,6,Social,f,2
4,58,pellet,11,Social,f,2
4,59,pellet,18,Social,f,2
4,60,pellet,3,Social,f,2
4,61,pellet,13,Social,f,2
4,62,pellet,6,Social,f,2
4,63,pellet,5,Social,f,2
4,64,pellet,14,Social,f,2
4,65,pellet,0,Social,f,2
4,66,pellet,8,Social,f,2
4,67,pellet,5,Social,f,2
4,68,pellet,6,Social,f,2
4,69,pellet,7,Social,f,2
4,70,pellet,0,Social,f,2
4,71,pellet,6,Social,f,2
5,-72,pellet,0,Empty,f,-3
5,-71,pellet,0,Empty,f,-3
5,-70,pellet,0,Empty,f,-3
5,-69,pellet,25,Empty,f,-3
5,-68,pellet,6,Empty,f,-3
5,-67,pellet,13,Empty,f,-3
5,-66,pellet,14,Empty,f,-3
5,-65,pellet,14,Empty,f,-3
5,-64,pellet,19,Empty,f,-3
5,-63,pellet,23,Empty,f,-3
5,-62,pellet,24,Empty,f,-3
5,-61,pellet,18,Empty,f,-3
5,-60,pellet,11,Empty,f,-3
5,-59,pellet,9,Empty,f,-3
5,-58,pellet,0,Empty,f,-3
5,-57,pellet,12,Empty,f,-3
5,-56,pellet,11,Empty,f,-3
5,-55,pellet,9,Empty,f,-3
5,-54,pellet,8,Empty,f,-3
5,-53,pellet,10,Empty,f,-3
5,-52,pellet,11,Empty,f,-3
5,-51,pellet,7,Empty,f,-3
5,-50,pellet,6,Empty,f,-3
5,-49,pellet,4,Empty,f,-3
5,-48,pellet,10,Empty,f,-2
5,-47,pellet,2,Empty,f,-2
5,-46,pellet,2,Empty,f,-2
5,-45,pellet,4,Empty,f,-2
5,-44,pellet,10,Empty,f,-2
5,-43,pellet,6,Empty,f,-2
5,-42,pellet,15,Empty,f,-2
5,-41,pellet,11,Empty,f,-2
5,-40,pellet,15,Empty,f,-2
5,-39,pellet,14,Empty,f,-2
5,-38,pellet,19,Empty,f,-2
5,-37,pellet,23,Empty,f,-2
5,-36,pellet,14,Empty,f,-2
5,-35,pellet,14,Empty,f,-2
5,-34,pellet,1,Empty,f,-2
5,-33,pellet,11,Empty,f,-2
5,-32,pellet,8,Empty,f,-2
5,-31,pellet,9,Empty,f,-2
5,-30,pellet,1,Empty,f,-2
5,-29,pellet,11,Empty,f,-2
