,day,device_number,behavior,event,sex
385,-3,15,Seeking,20,f
386,-2,15,Exploring,21,f
387,-2,15,Seeking,15,f
388,-1,15,Exploring,14,f
389,-1,15,Seeking,27,f
390,0,15,Exploring,1,f
391,0,15,Seeking,101,f
392,1,15,Exploring,2,f
393,1,15,Seeking,100,f
394,2,15,Exploring,1,f
395,2,15,Seeking,65,f
396,3,15,Exploring,6,f
397,3,15,Seeking,66,f
398,4,15,Exploring,8,f
399,4,15,Seeking,54,f
400,5,15,Exploring,10,f
401,5,15,Seeking,88,f
402,6,15,Exploring,6,f
403,6,15,Seeking,109,f
404,7,15,Exploring,6,f
405,7,15,Seeking,94,f
406,8,15,Exploring,9,f
407,8,15,Seeking,74,f
408,9,15,Exploring,12,f
409,9,15,Seeking,66,f
410,10,15,Exploring,13,f
411,10,15,Seeking,69,f
412,11,15,Exploring,13,f
413,11,15,Seeking,37,f
414,12,15,Exploring,6,f
415,12,15,Seeking,49,f
416,13,15,Exploring,2,f
417,13,15,Seeking,25,f
418,-5,16,Exploring,4,f
419,-5,16,Seeking,24,f
420,-4,16,Exploring,24,f
421,-4,16,Seeking,41,f
422,-3,16,Exploring,29,f
423,-3,16,Seeking,28,f
424,-2,16,Exploring,14,f
425,-2,16,Seeking,57,f
426,-1,16,Exploring,24,f
427,-1,16,Seeking,40,f
428,0,16,Exploring,7,f
429,0,16,Seeking,144,f
430,1,16,Exploring,12,f
431,1,16,Seeking,164,f
432,2,16,Exploring,7,f
433,2,16,Seeking,79,f
434,3,16,Exploring,10,f
435,3,16,Seeking,73,f
436,4,16,Exploring,11,f
437,4,16,Seeking,86,f
438,5,16,Exploring,15,f
439,5,16,Seeking,90,f
440,6,16,Exploring,24,f
441,6,16,Seeking,107,f
442,7,16,Exploring,27,f
443,7,16,Seeking,80,f
444,8,16,Exploring,18,f
445,8,16,Seeking,75,f
446,9,16,Exploring,30,f
447,9,16,Seeking,76,f
448,10,16,Exploring,12,f
449,10,16,Seeking,75,f
450,11,16,Exploring,12,f
451,11,16,Seeking,37,f
452,12,16,Exploring,12,f
453,12,16,Seeking,64,f
454,13,16,Exploring,15,f
455,13,16,Seeking,49,f
