Time,553,549,561,EB0,E95,EA2,E94,E8D
1/12/2025 7:00,11.1,0.276,0.437,12.4,5.59,0.401,1.34,13.8
1/12/2025 8:00,0.357,2.4,0.0244,0.719,12.8,0.102,0.0244,0.469
1/12/2025 9:00,0.388,0.0244,8.3,0.865,11.1,8.5,12,0.0435
1/12/2025 10:00,7.64,0.0244,0.317,0.246,0.346,0.0244,2.64,0.0561
1/12/2025 11:00,8.9,1.11,7.22,34.3,9.39,11.4,0.994,8.27
1/12/2025 12:00,1.05,0.875,0.0244,2.61,5.98,0.0466,12.1,0.0866
1/12/2025 13:00,0.951,0.0244,4.41,0.343,2.08,0.0244,5.75,0.0712
1/12/2025 14:00,7.28,1.31,2.4,13.3,21.7,16.8,1.94,12.5
1/12/2025 15:00,1.13,2.39,1.49,3.11,2.42,0.456,3.98,1.04
1/12/2025 16:00,2.35,1.3,0.184,5.95,7.84,2.18,0.13,1.2
1/12/2025 17:00,0.769,1.17,1.95,0.26,8.28,1.12,1.86,3.55
1/12/2025 18:00,14.6,6.28,16.8,20.5,29.1,16.1,22.7,13.7
1/12/2025 19:00,16,18.7,9.98,23.9,24.4,26.1,19.3,27.3
1/12/2025 20:00,16.7,4.27,4.46,32.2,31.6,29.8,8.73,14.8
1/12/2025 21:00,18,26.7,11.2,48.7,28.6,43.4,29.3,21.2
1/12/2025 22:00,11.8,13.6,35.1,56.7,24.4,26.5,26.4,32.8
1/12/2025 23:00,29,3.75,19.1,54.3,27.7,43.7,40,12.4
1/13/2025 0:00,12.9,4.17,23.5,40.3,37,14.8,22,21.9
1/13/2025 1:00,8.84,7.6,1,1.98,33.4,4.5,7.13,12.3
1/13/2025 2:00,17.2,10.5,18.5,1.42,25.4,37.6,4.73,1.69
1/13/2025 3:00,14.2,9.77,16.9,41.4,17.8,36.3,3.69,30.9
1/13/2025 4:00,26.9,30.2,11.4,60.6,36.8,23,19.5,32.7
1/13/2025 5:00,38.9,29.6,22.3,56.6,28.1,27.3,42.8,45.7
1/13/2025 6:00,24.6,17.8,3.32,38.4,15.2,0.208,41.1,47.8
1/13/2025 7:00,0.0244,1.49,0.0244,0.0244,13.6,0.253,20.9,3.21
1/13/2025 8:00,1.16,0.462,0.0244,0.956,0.205,3.07,0.373,0.0244
1/13/2025 9:00,0.163,1.4,2.96,21.1,0.186,0.0244,0.0244,0.56
1/13/2025 10:00,0.123,0.0967,0.0244,12.7,4.37,0.0244,3.16,0.141
1/13/2025 11:00,13.1,5.4,7.11,6.73,11.6,8.62,5.72,12.4
1/13/2025 12:00,0.0266,0.717,0.053,0.0244,0.656,0.0244,10.7,0.0244
1/13/2025 13:00,0.0642,0.362,5.27,9.95,1.82,4.37,12.2,0.0244
1/13/2025 14:00,0.209,0.611,1,4.88,21.4,0.0244,0.364,0.614
1/13/2025 15:00,9.7,1.04,3.97,0.183,2.15,4.78,7.45,7
1/13/2025 16:00,6.17,6.49,5.2,33.6,12.9,17.2,10.7,22.9
1/13/2025 17:00,1.04,1.19,1.63,3.99,5.26,8.46,5.54,5.89
1/13/2025 18:00,10.6,8.59,5.97,13,24.2,12.8,7.98,8.75
1/13/2025 19:00,5.62,1.01,7.85,15.1,13.3,17.6,28.6,30.4
1/13/2025 20:00,9.46,2.18,2.38,1.69,38.3,13,8.93,3.74
1/13/2025 21:00,8.48,8.69,17.5,62.9,27.2,6.56,24.1,33.9
1/13/2025 22:00,2.86,30.7,14.5,44.9,27.9,10.8,18.3,25.4
1/13/2025 23:00,10.5,16.5,10.9,48.9,26.4,23.3,17.6,2.73
1/14/2025 0:00,3.68,3.64,1.73,7.75,16,15.4,30.4,35.2
1/14/2025 1:00,0.907,0.0474,20.3,4.18,11.6,3,1.9,14
1/14/2025 2:00,9.67,4.28,18.4,30.2,17.2,4.42,0.556,1.37
1/14/2025 3:00,4.26,10.4,2.75,24.5,23.8,5.47,1.98,17.6
1/14/2025 4:00,1.41,7.02,25,14.1,21.5,27.1,11.1,18.6
1/14/2025 5:00,24.3,20.4,24.5,47.6,16.7,41.5,32.2,36.6
1/14/2025 6:00,14.4,33.8,1.95,39.5,0.134,9.88,28.3,38.1
1/14/2025 7:00,0.781,6.32,0.3,1.47,0.355,4.49,22.4,4.59
1/14/2025 8:00,7,0.0986,0.0244,11.5,19.7,0.0244,0.135,0.132
1/14/2025 9:00,0.174,0.322,1.37,0.543,0.969,0.0244,4.99,1.04
1/14/2025 10:00,0.0244,0.674,0.503,0.2,0.482,0.0244,18.4,1.21
1/14/2025 11:00,5.8,1.45,0.0244,15.7,1.19,4.09,0.0244,0.102
1/14/2025 12:00,0.0244,0.316,9.68,1.07,3.48,0.0244,1.39,0.98
1/14/2025 13:00,0.492,1.77,0.133,0.462,4.16,5.55,2.03,13.2
1/14/2025 14:00,14,0.0917,2.93,5.91,16.6,10.6,0.449,0.0244
1/14/2025 15:00,0.33,0.408,0.21,0.78,1.26,0.0244,19.1,1.08
1/14/2025 16:00,3.03,0.151,0.0412,4.69,2.42,3.91,0.0244,3.05
1/14/2025 17:00,0.514,0.476,0.0244,4.35,5.98,0.0244,3.87,0.203
1/14/2025 18:00,7.75,19.8,15,15.6,12.4,7.67,30.4,19.1
1/14/2025 19:00,18.2,15.4,4.9,37.5,41.6,23,18.6,15.2
1/14/2025 20:00,4.19,23.5,17.6,33.2,26.5,21.4,25.2,36.9
1/14/2025 21:00,7.18,9.4,6.56,19.6,21.1,15.6,28.7,15.9
1/14/2025 22:00,20.8,13,20.1,24.4,33.2,5.03,8.67,44.1
1/14/2025 23:00,38.9,9.05,39.3,43.9,11.4,20.2,36,35.4
1/15/2025 0:00,4.03,23.4,28.6,54.3,51.2,29,33.8,18.5
1/15/2025 1:00,20.6,5.65,3.02,61.6,31,1.93,22.4,0.771
1/15/2025 2:00,22.7,7.43,12.5,33.7,23.7,6.75,3.34,25.6
1/15/2025 3:00,2.67,8.94,4.58,0.937,21.8,3.81,0.0244,19.4
1/15/2025 4:00,18.9,19.4,34.8,44.1,18.6,32.2,10.6,42.2
1/15/2025 5:00,33.7,35.1,21.2,54.9,49.3,47.8,46.5,54.9
1/15/2025 6:00,9.51,16.5,2.65,39.3,9.28,33.8,29.7,28.4
1/15/2025 7:00,0.255,0.0244,0.613,0.824,13.7,0.112,7.14,0.86
1/15/2025 8:00,0.233,0.598,0.0676,27.9,1.52,0.0244,7.19,0.0737
1/15/2025 9:00,0.783,0.751,10.1,0.235,1.08,0.0244,10.4,0.31
1/15/2025 10:00,3.62,3.43,0.0418,3.29,21.8,0.0244,0.0244,5.44
